ticker,fiscal_year,fiscal_quarter,end_date,stock_price
2531,2008,4,2009-03-31,492
2531,2009,1,2009-06-30,591
2531,2009,2,2009-09-30,621
2531,2009,3,2009-12-30,534.0139252207367
2531,2009,4,2010-03-31,524
2531,2010,1,2010-06-30,451
2531,2010,2,2010-09-30,469
2531,2010,3,2010-12-30,478.0478461396181
2531,2010,4,2011-03-31,411
2531,2011,1,2011-06-30,410
2531,2011,2,2011-09-30,471
2531,2011,3,2011-12-30,500.3142504614208
2531,2011,4,2012-03-30,562.968758774009
2531,2012,1,2012-06-29,512.0085342208192
2531,2012,2,2012-09-28,584.9902677304352
2531,2012,3,2012-12-28,684.0251108379748
2531,2012,4,2013-03-29,788.9851648250597
2531,2013,1,2013-06-28,865.0259849735827
2531,2013,2,2013-09-30,895
2531,2013,3,2013-12-30,987.3657460915782
2531,2013,4,2014-03-31,787
2531,2014,1,2014-06-30,889
2531,2014,2,2014-09-30,835
2531,2014,3,2014-12-30,784.0009272751772
2531,2014,4,2015-03-31,870
2531,2015,1,2015-06-30,958
2531,2015,2,2015-09-30,717
2531,2015,3,2015-12-30,924.0012214415045
2531,2015,4,2016-03-31,927
2531,2016,1,2016-06-30,939
2531,2016,2,2016-09-30,942
2531,2016,3,2016-12-30,1076.0004598652613
2531,2016,4,2017-03-31,1201
2531,2017,1,2017-06-30,1170
2531,2017,2,2017-09-29,1027.0026590684677
2531,2017,3,2017-12-29,1326.5005916302737
2531,2017,4,2018-03-30,1181.0004141150382
2531,2018,1,2018-06-29,1464.00029334198
2531,2018,2,2018-09-28,1670.0024343512616
2531,2018,3,2018-12-28,1338.0010120621278
2531,2018,4,2019-03-29,1309
2531,2019,1,2019-06-28,1127
2531,2019,2,2019-09-30,1069
2531,2019,3,2019-12-30,1012.6495296571958
2531,2019,4,2020-03-31,810
2531,2020,1,2020-06-30,964
2531,2020,2,2020-09-30,1166
2531,2020,3,2020-12-30,1289.0010822931397
2531,2020,4,2021-03-31,1507
2531,2021,1,2021-06-30,1385
2531,2021,2,2021-09-30,1619
2531,2021,3,2021-12-30,1221.0009572639208
2531,2021,4,2022-03-31,1101
2531,2022,1,2022-06-30,1005
2531,2022,2,2022-09-30,1057
2531,2022,3,2022-12-30,1045
2531,2022,4,2023-03-31,1022
2579,2005,1,2005-03-31,2520
2579,2005,2,2005-06-30,2495
2579,2005,3,2005-09-30,2540
2579,2005,4,2005-12-30,2747.88077411867
2579,2006,1,2006-03-31,2795
2579,2006,2,2006-06-30,2425
2579,2006,3,2006-09-29,2360
2579,2006,4,2006-12-29,2023.435338694351
2579,2007,1,2007-03-30,2555
2579,2007,2,2007-06-29,2865.1839560309227
2579,2007,3,2007-09-28,2700
2579,2007,4,2007-12-28,2475.192004039939
2579,2008,1,2008-03-31,2400
2579,2008,2,2008-06-30,2475
2579,2008,3,2008-09-30,2385
2579,2008,4,2008-12-30,1999.930299679974
2579,2009,1,2009-03-31,1576
2579,2009,2,2009-06-30,1845
2579,2009,3,2009-09-30,1757
2579,2009,4,2009-12-30,1639.0071150077306
2579,2010,1,2010-03-31,1529
2579,2010,2,2010-06-30,1469
2579,2010,3,2010-09-30,1408
2579,2010,4,2010-12-30,1471.0123743795587
2579,2011,1,2011-03-31,1585
2579,2011,2,2011-06-30,1540
2579,2011,3,2011-09-30,1486
2579,2011,4,2011-12-30,1335.006716941961
2579,2012,1,2012-03-30,1451.0035559603195
2579,2012,2,2012-06-29,1389.0061550460384
2579,2012,3,2012-09-28,1294.001397924881
2579,2012,4,2012-12-28,1333.007787020831
2579,2013,1,2013-03-29,1643.0047168172152
2579,2013,2,2013-06-28,1612.0504717612237
2579,2013,3,2013-09-30,1961
2579,2013,4,2013-12-30,2227.016486720003
2579,2014,1,2014-03-31,1801
2579,2014,2,2014-06-30,1748
2579,2014,3,2014-09-30,1596
2579,2014,4,2014-12-30,1661.009192132814
2579,2015,1,2015-03-31,1986
2579,2015,2,2015-06-30,2210
2579,2015,3,2015-09-30,2325
2579,2015,4,2015-12-30,2457.0143405366102
2579,2016,1,2016-03-31,2786
2579,2016,2,2016-06-30,2892
2579,2016,3,2016-09-30,2819
2579,2016,4,2016-12-30,3445.023169394661
2579,2017,1,2017-03-31,3590
2579,2017,2,2017-06-30,3250
2579,2017,3,2017-09-29,3650.0950845847506
2579,2017,4,2017-12-29,4115.070452579411
2579,2018,1,2018-03-30,4395.056527003512
2579,2018,2,2018-06-29,4828.727628896264
2579,2018,3,2018-09-28,3040.007812251608
2579,2018,4,2018-12-28,3351.194447119339
2579,2019,1,2019-03-29,2875.5906285262417
2579,2019,2,2019-06-28,2729.016569983742
2579,2019,3,2019-09-30,2424
2579,2019,4,2019-12-30,2791.0229222961802
2579,2020,1,2020-03-31,2219
2579,2020,2,2020-06-30,1954
2579,2020,3,2020-09-30,1759
2579,2020,4,2020-12-30,1609.0076166935403
2579,2021,1,2021-03-31,1929
2579,2021,2,2021-06-30,1736
2579,2021,3,2021-09-30,1619
2579,2021,4,2021-12-30,1320.0069406295374
2579,2022,1,2022-03-31,1442
2579,2022,2,2022-06-30,1620
