ticker,fiscal_year,fiscal_quarter,end_date,stock_price
8078,2009,1,2009-06-30,1810.0000345911558
8078,2009,2,2009-09-30,1620.0000077400953
8078,2009,3,2009-12-30,1701.2545679147474
8078,2009,4,2010-03-31,1980.000019103132
8078,2010,1,2010-06-30,1775.0000256883618
8078,2010,2,2010-09-30,1640
8078,2010,3,2010-12-30,1870.054670690285
8078,2010,4,2011-03-31,1840.0000266317122
8078,2011,1,2011-06-30,1775.0000342545961
8078,2011,2,2011-09-30,1760
8078,2011,3,2011-12-30,1679.9940425412633
8078,2011,4,2012-03-30,1880.0112291143341
8078,2012,1,2012-06-29,1509.9994026104362
8078,2012,2,2012-09-28,1355.0144805313669
8078,2012,3,2012-12-28,1680.0070680410402
8078,2012,4,2013-03-29,1695.1968572767728
8078,2013,1,2013-06-28,1885.0720678110883
8078,2013,2,2013-09-30,2320.000033586192
8078,2013,3,2013-12-30,2815.041608621857
8078,2013,4,2014-03-31,2000.000019302924
8078,2014,1,2014-06-30,2190.000031705143
8078,2014,2,2014-09-30,2050.000029679062
8078,2014,3,2014-12-30,2135.027437824824
8078,2014,4,2015-03-31,2440
8078,2015,1,2015-06-30,2875.000013874681
8078,2015,2,2015-09-30,2190
8078,2015,3,2015-12-30,2630.019356122909
8078,2015,4,2016-03-31,2375.000034385854
8078,2016,1,2016-06-30,2650.000039122749
8078,2016,2,2016-09-30,3050.0000600378853
8078,2016,3,2016-12-30,3825.0711347740234
8078,2016,4,2017-03-31,3955.0000389274096
8078,2017,1,2017-06-30,4020.0000791350617
8078,2017,2,2017-09-29,4035.030958212603
8078,2017,3,2017-12-29,5210.091281244895
8078,2017,4,2018-03-30,4480.0103626471255
8078,2018,1,2018-06-29,4225.235392257226
8078,2018,2,2018-09-28,3780.0232553841565
8078,2018,3,2018-12-28,2829.009746623473
8078,2018,4,2019-03-29,3085.0226998380126
8078,2019,1,2019-06-28,2880.8155328051535
8078,2019,2,2019-09-30,2954
8078,2019,3,2019-12-30,2877.00417696751
8078,2019,4,2020-03-31,1682
8078,2020,1,2020-06-30,1971
8078,2020,2,2020-09-30,2100
8078,2020,3,2020-12-30,2767.0115752475
8078,2020,4,2021-03-31,3395
8078,2021,1,2021-06-30,3210
8078,2021,2,2021-09-30,3475
8078,2021,3,2021-12-30,3260
8078,2021,4,2022-03-31,3240
8078,2022,1,2022-06-30,2839
8078,2022,2,2022-09-30,3435
8078,2022,3,2022-12-30,3745.007372588759
8078,2022,4,2023-03-31,3945
8079,2005,1,2006-01-31,806
8079,2005,2,2006-04-28,790.2429065750727
8079,2005,3,2006-07-31,633
8079,2005,4,2006-10-31,611
8079,2006,1,2007-01-31,577
8079,2006,2,2007-04-27,581.1431481579448
8079,2006,3,2007-07-31,595
8079,2006,4,2007-10-31,518
8079,2007,1,2008-01-31,453
8079,2007,2,2008-04-30,441
8079,2007,3,2008-07-31,469
8079,2007,4,2008-10-31,395
8079,2008,1,2009-01-30,418.0296663996
8079,2008,2,2009-04-30,425
8079,2008,3,2009-07-31,435
8079,2008,4,2009-10-30,445.01020365460187
8079,2009,1,2010-01-29,474.0149630904677
8079,2009,2,2010-04-30,506
8079,2009,3,2010-07-30,515.0039976184445
8079,2009,4,2010-10-29,500.020075003916
8079,2010,1,2011-01-31,508
8079,2010,2,2011-04-28,495.001654077258
8079,2010,3,2011-07-29,525.0013764734949
8079,2010,4,2011-10-31,532
8079,2011,1,2012-01-31,531
8079,2011,2,2012-04-27,569.0023694064485
8079,2011,3,2012-07-31,589
8079,2011,4,2012-10-31,598
8079,2012,1,2013-01-31,623
8079,2012,2,2013-04-30,745
8079,2012,3,2013-07-31,727
8079,2012,4,2013-10-31,779
8079,2013,1,2014-01-31,807
8079,2013,2,2014-04-30,796
8079,2013,3,2014-07-31,841
8079,2013,4,2014-10-31,868
8079,2014,1,2015-01-30,921
8079,2014,2,2015-04-30,1036
8079,2014,3,2015-07-31,1297
8079,2014,4,2015-10-30,1495.5390832397297
8079,2015,1,2016-01-29,1475.0038928333333
8079,2015,2,2016-04-28,1358
8079,2015,3,2016-07-29,1330
8079,2015,4,2016-10-31,1658
8079,2016,1,2017-01-31,2180
8079,2016,2,2017-04-28,2510.0418086284576
8079,2016,3,2017-07-31,4720
8079,2016,4,2017-10-31,4575
8079,2017,1,2018-01-31,4450
8079,2017,2,2018-04-27,4355.5952262744295
8079,2017,3,2018-07-31,3870
8079,2017,4,2018-10-31,4330
8079,2018,1,2019-01-31,2631
8079,2018,2,2019-04-26,3115.0172755928165
8079,2018,3,2019-07-31,3125
8079,2018,4,2019-10-31,3185
8079,2019,1,2020-01-31,3685
8079,2019,2,2020-04-30,3925
8079,2019,3,2020-07-31,3635
8079,2019,4,2020-10-30,3785.0296944170964
8079,2020,1,2021-01-29,3725
8079,2020,2,2021-04-30,4020
8079,2020,3,2021-07-30,3910.0074336826624
8079,2020,4,2021-10-29,3920.01350805558
8079,2021,1,2022-01-31,3955
8079,2021,2,2022-04-28,3913.7225063405444
8079,2021,3,2022-07-29,3945.0192132709303
8079,2021,4,2022-10-31,4105
8079,2022,1,2023-01-31,4145
8079,2022,2,2023-04-28,3993.6126354745948
8084,2005,1,2005-06-30,1466.0000338786517
8084,2005,2,2005-09-30,1658
8084,2005,3,2005-12-30,1930
8084,2005,4,2006-03-31,2070
8084,2006,1,2006-06-30,1810
8084,2006,2,2006-09-29,1679.6833947547595
8084,2006,3,2006-12-29,1792
8084,2006,4,2007-03-30,1957.176575822903
8084,2007,1,2007-06-29,1958
8084,2007,2,2007-09-28,1794.68899268072
8084,2007,3,2007-12-28,1556
8084,2007,4,2008-03-31,1254.0000288691697
8084,2008,1,2008-06-30,1472.0000338985205
8084,2008,2,2008-09-30,1112
8084,2008,3,2008-12-30,1031.809449407918
8084,2008,4,2009-03-31,846
8084,2009,1,2009-06-30,1082
8084,2009,2,2009-09-30,1158
8084,2009,3,2009-12-30,914.0056842120974
8084,2009,4,2010-03-31,982.0000226203517
8084,2010,1,2010-06-30,978.0000225287307
8084,2010,2,2010-09-30,928.000021376572
8084,2010,3,2010-12-30,1044.048460264845
8084,2010,4,2011-03-31,1094
8084,2011,1,2011-06-30,994.0000228999512
8084,2011,2,2011-09-30,942.0000217030888
8084,2011,3,2011-12-30,876.0033301234758
8084,2011,4,2012-03-30,998.0634887609596
8084,2012,1,2012-06-29,962.0291040099702
8084,2012,2,2012-09-28,922.010834758436
8084,2012,3,2012-12-28,982.0137574925793
8084,2012,4,2013-03-29,1210.0670577116402
8084,2013,1,2013-06-28,1282.1366747315194
8084,2013,2,2013-09-30,1360
8084,2013,3,2013-12-30,1434.1277870237477
8084,2013,4,2014-03-31,1406
8084,2014,1,2014-06-30,1528
8084,2014,2,2014-09-30,1642
8084,2014,3,2014-12-30,1632.1090286690603
8084,2014,4,2015-03-31,1682
8084,2015,1,2015-06-30,1956.0000451272138
8084,2015,2,2015-09-30,1592.0000367314424
8084,2015,3,2015-12-30,1630.0540447711128
8084,2015,4,2016-03-31,1320.0000304577522
8084,2016,1,2016-06-30,1256.0000289809686
8084,2016,2,2016-09-30,1264
8084,2016,3,2016-12-30,1476.0741396398857
8084,2016,4,2017-03-31,1466.000033803151
8084,2017,1,2017-06-30,1560
8084,2017,2,2017-09-29,1703.1633323355338
8084,2017,3,2017-12-29,1825.0330609647924
8084,2017,4,2018-03-30,1749.0224936380248
8084,2018,1,2018-06-29,1807.008329632555
8084,2018,2,2018-09-28,1720.4492153872945
8084,2018,3,2018-12-28,1412.0065718368046
8084,2018,4,2019-03-29,1468.0173181638418
8084,2019,1,2019-06-28,1600.007520695738
8084,2019,2,2019-09-30,1506
8084,2019,3,2019-12-30,1661.0211073645105
8084,2019,4,2020-03-31,1297
8084,2020,1,2020-06-30,1461
8084,2020,2,2020-09-30,1533
8084,2020,3,2020-12-30,1550.022452899611
8084,2020,4,2021-03-31,1649
8084,2021,1,2021-06-30,1625
8084,2021,2,2021-09-30,1750
8084,2021,3,2021-12-30,1826.008390342633
8084,2021,4,2022-03-31,1704
